dataset,organ,method,case_id,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,1.0,0.0249636451769268,0.0126395876794698,0.0249636451769268,0.0177931782920146,0.4715366065502167,0.4383777379989624,23.280893325805664,10.596945762634276,0.8621070049641478
BTCV,liver,single_axial_02,1.0,0.014609571788413,0.0073585384420197,0.014609571788413,0.0110712209450569,0.5164548754692078,0.4684329032897949,24.0,11.848877906799316,0.9051296194153337
BTCV,liver,single_axial_03,1.0,0.0153343388637506,0.007726409119696,0.0153343388637506,0.011812199886932,0.5148638486862183,0.4651873409748077,24.0,11.781959533691406,0.90292333149476
BTCV,liver,single_coronal_01,1.0,0.0171211935917818,0.0086345133834957,0.0171211935917818,0.0078885487660717,0.5082600712776184,0.4480367004871368,24.59674835205078,12.150303840637209,0.8724489795918368
BTCV,liver,single_coronal_02,1.0,0.0180062630480167,0.0090849242922975,0.0180062630480167,0.0083628399026932,0.4866038560867309,0.4548502564430237,23.790754318237305,12.698041915893556,0.9431880860452287
BTCV,liver,single_coronal_03,1.0,0.0081088150667015,0.0040709126723571,0.0081088150667015,0.0044595111557193,0.5304595232009888,0.473904550075531,25.238859176635746,13.746166229248049,0.9456701599558742
BTCV,liver,single_sagittal_01,1.0,0.0314571396472306,0.0159799109690674,0.0314571396472306,0.0114581617525943,0.5300149917602539,0.4878119230270386,24.376215553283707,11.108158111572266,0.7726144511858798
BTCV,liver,single_sagittal_02,1.0,0.0316513761467889,0.0160801677930552,0.0316513761467889,0.0160780179873963,0.5351799726486206,0.495329737663269,24.698177337646484,11.54440689086914,0.797573083287369
BTCV,liver,single_sagittal_03,1.0,0.0383442265795207,0.0195468680586406,0.0383442265795207,0.0172815042150358,0.4999711513519287,0.4531007707118988,22.405357360839844,10.459146499633787,0.734142305570877
