dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,0.1301518438177874,0.0696055684454756,0.1301518438177874,0.0002171709859562,0.2671017646789551,0.2668942213058471,11.87434196472168,4.531325817108154,0.3286883818150148
BTCV,liver,silhouette_fusion_real,0.1249071858757528,0.0666138683562126,0.1249071858757528,0.0368709868421052,0.2681656777858734,0.275594025850296,11.704699516296388,4.380127906799316,0.1113046507577077
BTCV,liver,union_fusion_real,0.1233502116709554,0.0657289455060155,0.1233502116709554,0.0332272189349112,0.2673832178115845,0.2675653994083404,11.87434196472168,4.383643627166748,0.0984149102943738
BTCV,liver,weighted_fusion_real,0.1140335074761304,0.060464227719935,0.1140335074761304,0.02715147893792,0.2619645297527313,0.2750351428985595,11.57583713531494,4.332009315490723,0.066190559136039
