dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,top1_silhouette_fusion_real,0.0825495186455682,0.0430517082179132,0.0825495186455682,0.0314200741959339,0.3661104440689087,0.3759562373161316,15.0,6.115394592285156,0.4752826050278387
BTCV,liver,top1_union_fusion_real,0.0825495186455682,0.0430517082179132,0.0825495186455682,0.0314200741959339,0.3661104440689087,0.3759562373161316,15.0,6.115394592285156,0.4752826050278387
BTCV,liver,visual_hull,0.0719405932094261,0.0373124359944788,0.0719405932094261,0.0161108353265039,0.4222160279750824,0.4356146454811096,18.138357162475582,7.570287704467773,1.9306563185422645
