method,method_key,num_cases,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
Best single-slice SAM3D,best_single_sam3d,20,0.0689,0.0358,0.0689,0.0284,0.4033,0.3638,18.5610,7.2503,0.5102
Union fusion,union_fusion_real,20,0.0964,0.0508,0.0964,0.0285,0.3254,0.3236,13.6572,5.3315,0.1633
Silhouette fusion,silhouette_fusion_real,20,0.0892,0.0469,0.0892,0.0268,0.3376,0.3307,14.5216,5.6140,0.2296
Weighted fusion,weighted_fusion_real,20,0.0832,0.0436,0.0832,0.0234,0.3287,0.3357,13.9595,5.5365,0.2557
Anatomical refinement,med_mv_sam3d_real,20,0.0976,0.0516,0.0976,0.0143,0.3343,0.3306,14.8258,5.7796,0.3480
Visual hull,visual_hull,20,0.0891,0.0470,0.0891,0.0153,0.2767,0.2905,12.4873,4.4780,0.5159
Top-1 union fusion,top1_union_fusion_real,20,0.0760,0.0396,0.0760,0.0252,0.3593,0.3452,15.6390,6.1695,0.3898
Top-1 silhouette fusion,top1_silhouette_fusion_real,20,0.0722,0.0376,0.0722,0.0251,0.3716,0.3537,16.1987,6.4751,0.4595
