dataset,organ,method,case_id,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,2.0,0.09761024026154777,0.05157192187262065,0.09761024026154777,0.014279945858511955,0.33427269160747525,0.33060070574283595,14.825814185142516,5.779629266262054,0.3479727402467865
BTCV,liver,silhouette_fusion_real,2.0,0.08918899761022472,0.046918231096556975,0.08918899761022472,0.026832881008722415,0.3376388370990753,0.33071904852986334,14.521622905731197,5.613998806476593,0.22959398269109527
BTCV,liver,union_fusion_real,2.0,0.09641056813642071,0.05080593920391524,0.09641056813642071,0.028496247367561872,0.3254233442246913,0.32357827574014664,13.657159013748167,5.331491053104401,0.1632923633015569
BTCV,liver,weighted_fusion_real,2.0,0.0832048738968278,0.04359140230243302,0.0832048738968278,0.02340866860445789,0.32869212031364436,0.3357142940163612,13.959528398513793,5.536495471000672,0.2557152799969808
