dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,0.0214333556597454,0.0108327691266079,0.0214333556597454,0.013873030316011,0.4625977873802185,0.4300830662250519,19.39072036743164,9.554123878479004,0.8579078217632434
BTCV,liver,single_axial_02,0.0304736667770785,0.0154725866128489,0.0304736667770785,0.0186851682333519,0.4725544452667236,0.4369944632053375,20.02498435974121,9.838324546813965,0.8452859055268693
BTCV,liver,single_axial_03,0.0231884057971014,0.0117302052785923,0.0231884057971014,0.0158958718543687,0.4642630219459533,0.4383430480957031,20.614314746856685,10.094449043273926,0.8783706253585771
BTCV,liver,single_coronal_01,0.0279937791601866,0.0141955835962145,0.0279937791601866,0.0163872403836161,0.5393214821815491,0.4494782388210296,23.105193138122548,12.350852966308594,0.8932874354561101
BTCV,liver,single_coronal_02,0.0065801498811917,0.0033009352649917,0.0065801498811917,0.0041203760224636,0.5730443000793457,0.4640894830226898,22.75961303710937,13.037598609924316,0.9537196404666284
BTCV,liver,single_coronal_03,0.0248510638297872,0.0125818683212685,0.0248510638297872,0.0137737595023193,0.5431703329086304,0.440435528755188,22.226110458374023,12.041605949401855,0.8764582138076114
BTCV,liver,single_sagittal_01,0.0659050966608084,0.0340754202635165,0.0659050966608084,0.0271104601195811,0.4776650667190552,0.4484215974807739,21.3775577545166,9.14070987701416,0.6942053930005737
BTCV,liver,single_sagittal_02,0.0719838756118629,0.0373357228195937,0.0719838756118629,0.0340421498455677,0.4797391295433044,0.4572041630744934,20.39607810974121,9.10304832458496,0.6716389366991776
BTCV,liver,single_sagittal_03,0.064364437913299,0.0332523534770725,0.064364437913299,0.0234851500845156,0.4868642687797546,0.4533580541610718,20.615528106689453,9.193633079528809,0.698603939567795
