dataset,organ,method,case_id,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,3.0,0.0267812861630021,0.0135723860589812,0.0267812861630021,0.0200747969640874,0.3710493147373199,0.3285207748413086,19.0,7.919479846954346,0.8526176024279211
BTCV,liver,single_axial_02,3.0,0.0340890286281648,0.0173400673400673,0.0340890286281648,0.0198408502647561,0.3327243030071258,0.2754123210906982,19.0,7.367217540740967,0.8537556904400607
BTCV,liver,single_axial_03,3.0,0.0945590994371482,0.0496258369436786,0.0945590994371482,0.0366574263203968,0.3140171468257904,0.2695182561874389,15.0,5.309277534484863,0.4834977238239757
BTCV,liver,single_coronal_01,3.0,0.0580751384523274,0.0299059657777092,0.0580751384523274,0.0289551704640745,0.4358281195163727,0.3967567086219787,19.33907890319824,9.058236122131348,0.7327389984825493
BTCV,liver,single_coronal_02,3.0,0.0212395543175487,0.0107337673763857,0.0212395543175487,0.0103799698037242,0.4609745144844055,0.4216738641262054,19.94993782043457,10.533041000366213,0.9104704097116844
BTCV,liver,single_coronal_03,3.0,0.0530808629520409,0.0272640306122449,0.0530808629520409,0.0272898680162746,0.4546144306659698,0.4092402756214142,20.099750518798828,9.701440811157228,0.7778831562974203
BTCV,liver,single_sagittal_01,3.0,0.0545876887340302,0.0280597014925373,0.0545876887340302,0.0226975134226442,0.490527331829071,0.4624214172363281,21.23676109313965,9.21283721923828,0.6934749620637329
BTCV,liver,single_sagittal_02,3.0,0.0579010856453558,0.0298136645962732,0.0579010856453558,0.0251356716645778,0.4906348884105682,0.4631763100624084,20.14944076538086,8.555209159851074,0.5847875569044007
BTCV,liver,single_sagittal_03,3.0,0.0718711276332094,0.0372750642673521,0.0718711276332094,0.0348277926259756,0.4251694977283478,0.3898052871227264,17.8885440826416,7.926908493041992,0.6223444613050075
