dataset,organ,method,case_id,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,2.0,0.0613769134067884,0.031660054928288,0.0613769134067884,0.0276273758043136,0.4429953694343567,0.4083061814308166,21.587032318115234,8.480087280273438,0.513956043956044
BTCV,liver,single_axial_02,2.0,0.0471897781610096,0.0241650610147719,0.0471897781610096,0.0204597931888109,0.442172110080719,0.3862104117870331,20.770158386230417,8.413119316101074,0.5981318681318681
BTCV,liver,single_axial_03,2.0,0.0555029499599388,0.0285436020377584,0.0555029499599388,0.0224804147901449,0.4322609901428222,0.383482813835144,21.0,7.714732646942139,0.4913186813186813
BTCV,liver,single_coronal_01,2.0,0.0410785225255684,0.0209699689333793,0.0410785225255684,0.0155886966867625,0.4860908985137939,0.4072274267673492,22.472204208374023,10.0426025390625,0.6998901098901099
BTCV,liver,single_coronal_02,2.0,0.0188231304052908,0.009500984336215,0.0188231304052908,0.0059141019751952,0.5007920265197754,0.3878791928291321,20.71593351364135,9.513079643249512,0.7039560439560439
BTCV,liver,single_coronal_03,2.0,0.0300795095315643,0.0152694028399144,0.0300795095315643,0.0167181582619095,0.5096104145050049,0.4863989353179931,24.04162979125977,11.727494239807127,0.8528571428571429
BTCV,liver,single_sagittal_01,2.0,0.0254631828978622,0.0128957751900683,0.0254631828978622,0.0121296006763801,0.5419512987136841,0.4485334455966949,24.382364749908447,12.29948902130127,0.8434065934065934
BTCV,liver,single_sagittal_02,2.0,0.0172204213938411,0.0086849902932461,0.0172204213938411,0.0113148073487371,0.5528086423873901,0.4679691195487976,25.516660022735568,13.020020484924316,0.9151648351648352
BTCV,liver,single_sagittal_03,2.0,0.0143287301422489,0.007216063585024,0.0143287301422489,0.011215682438751,0.5752711892127991,0.523813009262085,26.115129470825195,14.567036628723145,0.9416483516483516
