dataset,organ,method,case_id,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,4.0,0.0254864346396272,0.0129077029840388,0.0254864346396272,0.0174319262807507,0.4920684695243835,0.4451049864292145,17.916473388671875,8.836106300354004,0.7686856757212756
BTCV,liver,single_axial_02,4.0,0.0532430908065425,0.0273496349519063,0.0532430908065425,0.0257167771207138,0.4897631704807281,0.4283748269081116,17.37814712524414,8.133338928222656,0.5043023451999326
BTCV,liver,single_axial_03,4.0,0.0278346295538272,0.0141137401411374,0.0278346295538272,0.0174210670189985,0.5038094520568848,0.4484003782272339,18.027755737304688,8.88194751739502,0.7634553737135145
BTCV,liver,single_coronal_01,4.0,0.023910411622276,0.0120998621534691,0.023910411622276,0.0156210201075701,0.5426234006881714,0.4783192873001098,24.73863410949707,12.852866172790527,0.8851020752488612
BTCV,liver,single_coronal_02,4.0,0.0166718122877431,0.0084059775840597,0.0166718122877431,0.009817902294533,0.5721266865730286,0.4956010580062866,24.93992805480957,13.274160385131836,0.9070355997975368
BTCV,liver,single_coronal_03,4.0,0.0202050663449939,0.0102056359482102,0.0202050663449939,0.0110776768421029,0.5623400211334229,0.4878118634223938,24.289915084838867,12.80435562133789,0.8810528091783364
BTCV,liver,single_sagittal_01,4.0,0.0734066516496621,0.0381017881705639,0.0734066516496621,0.0348216528725064,0.4325543642044067,0.4228541851043701,21.21320343017578,8.84819221496582,0.7266745402395816
BTCV,liver,single_sagittal_02,4.0,0.0876623376623376,0.0458404074702886,0.0876623376623376,0.0438633925248691,0.2816801369190216,0.2550295293331146,13.601470947265623,6.11515998840332,0.752826050278387
BTCV,liver,single_sagittal_03,4.0,0.0314533622559652,0.0159779614325068,0.0314533622559652,0.0150836310406825,0.5756567716598511,0.509069561958313,22.360679626464844,11.107529640197754,0.7555255609920701
