dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,0.080592867068087,0.0419884169884169,0.080592867068087,0.0481737523355795,0.3706792593002319,0.3513219058513641,15.0,6.666520595550537,0.5940959409594095
BTCV,liver,single_axial_02,0.0672903922274199,0.0348166077080618,0.0672903922274199,0.0402484832353645,0.2563435435295105,0.2014198899269104,15.0,5.452851295471191,0.7935749945734751
BTCV,liver,single_axial_03,0.0944156591824985,0.0495468277945619,0.0944156591824985,0.0536428665003155,0.2430215775966644,0.2122412472963333,13.0,4.388840198516846,0.4918602127197742
BTCV,liver,single_coronal_01,0.0258090946333469,0.0130732517119734,0.0258090946333469,0.0157403904669484,0.4902132153511047,0.4217046797275543,23.0,12.125348091125488,0.940308226611678
BTCV,liver,single_coronal_02,0.0130526315789473,0.0065691883873702,0.0130526315789473,0.0073165886819104,0.4411593675613403,0.4098894000053406,21.63330841064453,11.700703620910645,0.9689602778380724
BTCV,liver,single_coronal_03,0.0084015963032976,0.0042185192997257,0.0084015963032976,0.0047313661562329,0.5100601315498352,0.442620575428009,21.80821189880368,12.069110870361328,0.9665726069025397
BTCV,liver,single_sagittal_01,0.0776886035313001,0.0404141616566466,0.0776886035313001,0.0294638278843287,0.4301833510398865,0.4120028614997864,19.209373474121094,7.6135101318359375,0.6477100065118299
BTCV,liver,single_sagittal_02,0.0767191641977233,0.0398897356899627,0.0767191641977233,0.0333569175349876,0.4212895035743713,0.402548223733902,18.3847770690918,7.231364727020264,0.6079878445843282
BTCV,liver,single_sagittal_03,0.0672454617205998,0.0347925514537732,0.0672454617205998,0.0333055375851726,0.4988145232200622,0.4236723184585571,18.439088821411133,8.288747787475586,0.6249186021271977
