candidate,num_points,bbox_x,bbox_y,bbox_z,bbox_ratio,centroid_x,centroid_y,centroid_z,has_nan,has_inf,status,reason
axial_01.ply,130176,0.9901740550994873,0.7255624532699585,0.018454253673553467,53.655600091728004,0.012921765446662903,-0.0003998674510512501,-0.00015654932940378785,False,False,warn,extreme_bbox_ratio
axial_02.ply,108128,0.9985111951828003,0.5772203207015991,0.012893646955490112,77.44210762321474,-0.042281877249479294,-0.01648462377488613,-0.00045933047658763826,False,False,warn,extreme_bbox_ratio
axial_03.ply,98880,0.6176741719245911,0.9997802972793579,0.013263911008834839,75.37598047916812,0.00804978422820568,0.0690973699092865,0.000807780132163316,False,False,warn,extreme_bbox_ratio
coronal_01.ply,29312,0.07628419995307922,0.9967343807220459,0.07419639825820923,13.433729993918746,0.005142635200172663,-0.08260665088891983,-0.0007945621619001031,False,False,warn,extreme_bbox_ratio
coronal_02.ply,29440,0.07307425141334534,0.07390499114990234,0.9931691884994507,13.591233153817448,-0.003171063493937254,0.0001197646270156838,0.08687687665224075,False,False,warn,extreme_bbox_ratio
coronal_03.ply,29632,0.09408038854598999,0.07099759578704834,0.99351966381073,13.993708558677303,-0.0016469239490106702,0.0025858301669359207,0.07654164731502533,False,False,warn,extreme_bbox_ratio
sagittal_01.ply,44000,0.09925591945648193,0.07276788353919983,0.9909285306930542,13.617663212085096,1.4491767615254503e-05,-0.0004203700227662921,-0.024488402530550957,False,False,warn,extreme_bbox_ratio
sagittal_02.ply,32192,0.0741371214389801,0.07161539793014526,0.9941290616989136,13.881498817734728,-0.0015686473343521357,-0.00030200270703062415,-0.018894964829087257,False,False,warn,extreme_bbox_ratio
sagittal_03.ply,56064,0.10309723019599915,0.07488718628883362,0.9929589033126831,13.259396600680438,0.00015832018107175827,-0.0001124381014960818,-0.018211795017123222,False,False,warn,extreme_bbox_ratio
