dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,0.1178714476444783,0.0626266720713417,0.1178714476444783,0.0224666252446127,0.3058388233184814,0.2995815873146057,13.56466007232666,5.066710472106934,0.3620663763327827
BTCV,liver,silhouette_fusion_real,0.1079236875087035,0.057039817472584,0.1079236875087035,0.030072899505766,0.3093627989292145,0.3002283871173858,13.152946472167969,4.888686656951904,0.1567802973419432
BTCV,liver,union_fusion_real,0.1085422923796884,0.0573855243722304,0.1085422923796884,0.0288402742073693,0.3094264268875122,0.3021584749221802,13.416407585144045,4.884275913238525,0.1500225259047905
BTCV,liver,weighted_fusion_real,0.0998273662088118,0.0525359456470216,0.0998273662088118,0.0291804389677131,0.3160625100135803,0.3060618638992309,13.190905570983888,4.9875168800354,0.0007508634930169
