dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,0.0872580179138977,0.045619335347432,0.0872580179138977,0.0143666516179432,0.3870484828948974,0.37960946559906,20.381351852416937,7.117159366607666,0.3937190594059406
BTCV,liver,silhouette_fusion_real,0.076489285348098,0.0397654584221748,0.076489285348098,0.0255499021526418,0.3937236666679382,0.3743385374546051,20.808637619018555,7.177096366882324,0.4911819306930693
BTCV,liver,union_fusion_real,0.097630173564753,0.0513202912536187,0.097630173564753,0.0297017573221757,0.3092371821403503,0.3349807560443878,13.601470947265623,5.239484786987305,0.146039603960396
BTCV,liver,weighted_fusion_real,0.0904338255526002,0.0473583093179635,0.0904338255526002,0.0197530873619544,0.309038758277893,0.3521490693092346,13.638181686401367,5.2132086753845215,0.3132735148514851
