dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,0.0600337268128161,0.0309457579972183,0.0600337268128161,0.0,0.3299591243267059,0.3107588291168213,17.233688354492188,5.787848949432373,0.2386138613861386
BTCV,liver,silhouette_fusion_real,0.0398773006134969,0.0203442879499217,0.0398773006134969,0.0126950787401574,0.3346365690231323,0.2999462485313415,17.492855072021484,5.78623104095459,0.3215841584158416
BTCV,liver,union_fusion_real,0.0894271924232765,0.0468064823641563,0.0894271924232765,0.0294421404682274,0.2882170081138611,0.2830004692077636,13.0,4.66934871673584,0.1744554455445544
BTCV,liver,weighted_fusion_real,0.0732995352767215,0.0380440741146804,0.0732995352767215,0.023384061255726,0.2855719923973083,0.286954402923584,13.152946472167969,4.713813781738281,0.1251485148514851
