dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,med_mv_sam3d_real,0.0299266503667481,0.0151906274821286,0.0299266503667481,0.0010722644369065,0.4310005307197571,0.3972328305244446,18.027755737304688,7.262730121612549,0.3780139593908629
BTCV,liver,silhouette_fusion_real,0.0324129651860744,0.0164734594264795,0.0324129651860744,0.0148715966386554,0.4300044178962707,0.381857693195343,18.027755737304688,7.27297306060791,0.4143401015228426
BTCV,liver,union_fusion_real,0.0579852579852579,0.0298582995951417,0.0579852579852579,0.0232112419700214,0.3410185277462005,0.3349802494049072,14.142135620117188,5.658143043518066,0.0631345177664974
BTCV,liver,weighted_fusion_real,0.0463611859838274,0.0237306843267108,0.0463611859838274,0.0182521717259659,0.3383193016052246,0.3387279808521271,14.177447319030762,5.6706624031066895,0.2344543147208121
