dataset,organ,method,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
BTCV,liver,single_axial_01,0.0200028575510787,0.0101024678885842,0.0200028575510787,0.0155465412073501,0.3634536862373352,0.3208968937397003,20.0,6.735374450683594,0.614059405940594
BTCV,liver,single_axial_02,0.0,0.0,0.0,0.0020331442505577,0.3775477409362793,0.3504493832588196,21.283796310424805,8.343137741088867,0.8429702970297029
BTCV,liver,single_axial_03,0.0831463328215424,0.0433764633394947,0.0831463328215424,0.0378720783843435,0.3384025394916534,0.3316053748130798,17.14642906188965,5.5577073097229,0.3233663366336634
BTCV,liver,single_coronal_01,0.009127210496292,0.0045845272206303,0.009127210496292,0.0047936174492144,0.4805946052074432,0.4420011043548584,26.191600799560547,12.80543041229248,0.9586138613861386
BTCV,liver,single_coronal_02,0.0087719298245614,0.0044052863436123,0.0087719298245614,0.005101740633797,0.5261549949645996,0.4507652223110199,23.60084724426269,13.498241424560549,0.9615841584158416
BTCV,liver,single_coronal_03,0.0023291925465838,0.0011659541391371,0.0023291925465838,0.0010762496537938,0.6265589594841003,0.5146791338920593,25.079872131347656,14.655824661254885,0.9798019801980198
BTCV,liver,single_sagittal_01,0.0700340873876665,0.0362877328195247,0.0700340873876665,0.0311439110151985,0.415760189294815,0.3971142172813415,23.323806762695312,8.769628524780273,0.721980198019802
BTCV,liver,single_sagittal_02,0.0306596469495199,0.0155684856109451,0.0306596469495199,0.0159432586331183,0.5550984144210815,0.4687031209468841,21.260292053222656,10.35051155090332,0.7211881188118812
BTCV,liver,single_sagittal_03,0.0389591078066914,0.0198665453442523,0.0389591078066914,0.0192255418629233,0.531465470790863,0.4547462463378906,21.189620971679688,10.051420211791992,0.6683168316831684
